campaign_id,campaign_name,campaign_type,campaign_date
CMP-0001,Clean Water Initiative - Direct Mail 2024,Direct Mail,2024-08-02
CMP-0002,Annual Fund - Gala 2025,Gala,2025-02-27
CMP-0003,Environmental Protection - Email Blast 2022,Email Blast,2022-04-03
CMP-0004,Environmental Protection - Recurring Drive 2021,Recurring Drive,2021-07-29
CMP-0005,Community Health - Direct Mail 2024,Direct Mail,2024-01-22
CMP-0006,Clean Water Initiative - Direct Mail 2023,Direct Mail,2023-05-15
CMP-0007,Annual Fund - Email Blast 2021,Email Blast,2021-07-11
CMP-0008,Clean Water Initiative - Social Media 2023,Social Media,2023-11-01
CMP-0009,Environmental Protection - Email Blast 2024,Email Blast,2024-02-24
CMP-0010,Community Health - Recurring Drive 2024,Recurring Drive,2024-08-23
CMP-0011,Youth Education - Email Blast 2023,Email Blast,2023-05-10
CMP-0012,Clean Water Initiative - Gala 2024,Gala,2024-04-21
CMP-0013,Environmental Protection - Email Blast 2025,Email Blast,2025-04-04
CMP-0014,Emergency Relief - Gala 2023,Gala,2023-05-16
CMP-0015,Emergency Relief - Email Blast 2021,Email Blast,2021-11-15
CMP-0016,Youth Education - Direct Mail 2021,Direct Mail,2021-07-29
CMP-0017,Emergency Relief - Gala 2021,Gala,2021-07-18
CMP-0018,Clean Water Initiative - Gala 2024,Gala,2024-05-21
CMP-0019,Community Health - Peer-to-Peer 2025,Peer-to-Peer,2025-02-03
CMP-0020,Clean Water Initiative - Peer-to-Peer 2021,Peer-to-Peer,2021-09-13
CMP-0021,Environmental Protection - Gala 2024,Gala,2024-02-05
CMP-0022,Community Health - Gala 2024,Gala,2024-06-20
CMP-0023,Clean Water Initiative - Recurring Drive 2022,Recurring Drive,2022-01-29
CMP-0024,Annual Fund - Recurring Drive 2021,Recurring Drive,2021-04-04
CMP-0025,Clean Water Initiative - Gala 2025,Gala,2025-05-03
CMP-0026,Clean Water Initiative - Email Blast 2025,Email Blast,2025-10-18
CMP-0027,Youth Education - Gala 2023,Gala,2023-02-18
CMP-0028,Annual Fund - Gala 2024,Gala,2024-07-25
CMP-0029,Annual Fund - Gala 2023,Gala,2023-01-29
CMP-0030,Environmental Protection - Gala 2024,Gala,2024-10-04
CMP-0031,Clean Water Initiative - Recurring Drive 2024,Recurring Drive,2024-10-31
CMP-0032,Annual Fund - Recurring Drive 2024,Recurring Drive,2024-06-01
CMP-0033,Annual Fund - Recurring Drive 2023,Recurring Drive,2023-12-30
CMP-0034,Youth Education - Peer-to-Peer 2021,Peer-to-Peer,2021-12-01
CMP-0035,Environmental Protection - Recurring Drive 2022,Recurring Drive,2022-07-07
CMP-0036,Environmental Protection - Email Blast 2024,Email Blast,2024-02-15
CMP-0037,Annual Fund - Direct Mail 2022,Direct Mail,2022-10-27
CMP-0038,Emergency Relief - Direct Mail 2025,Direct Mail,2025-08-11
CMP-0039,Clean Water Initiative - Gala 2023,Gala,2023-04-02
CMP-0040,Environmental Protection - Social Media 2022,Social Media,2022-03-09
CMP-0041,Environmental Protection - Email Blast 2022,Email Blast,2022-10-07
CMP-0042,Environmental Protection - Peer-to-Peer 2023,Peer-to-Peer,2023-10-20
CMP-0043,Emergency Relief - Email Blast 2023,Email Blast,2023-07-29
CMP-0044,Environmental Protection - Email Blast 2021,Email Blast,2021-10-13
CMP-0045,Emergency Relief - Social Media 2024,Social Media,2024-02-24
CMP-0046,Youth Education - Social Media 2025,Social Media,2025-03-10
CMP-0047,Emergency Relief - Peer-to-Peer 2024,Peer-to-Peer,2024-04-10
CMP-0048,Community Health - Email Blast 2022,Email Blast,2022-03-26
CMP-0049,Clean Water Initiative - Direct Mail 2023,Direct Mail,2023-10-08
CMP-0050,Annual Fund - Direct Mail 2025,Direct Mail,2025-10-30
CMP-0051,Environmental Protection - Email Blast 2024,Email Blast,2024-07-09
CMP-0052,Clean Water Initiative - Social Media 2023,Social Media,2023-05-15
CMP-0053,Community Health - Peer-to-Peer 2023,Peer-to-Peer,2023-02-28
CMP-0054,Emergency Relief - Social Media 2023,Social Media,2023-08-17
CMP-0055,Environmental Protection - Direct Mail 2024,Direct Mail,2024-02-08
CMP-0056,Environmental Protection - Direct Mail 2025,Direct Mail,2025-01-16
CMP-0057,Emergency Relief - Social Media 2025,Social Media,2025-12-18
CMP-0058,Emergency Relief - Recurring Drive 2025,Recurring Drive,2025-04-24
CMP-0059,Youth Education - Gala 2021,Gala,2021-08-17
CMP-0060,Clean Water Initiative - Peer-to-Peer 2021,Peer-to-Peer,2021-11-20
CMP-0061,Emergency Relief - Recurring Drive 2025,Recurring Drive,2025-01-18
CMP-0062,Community Health - Email Blast 2023,Email Blast,2023-10-23
CMP-0063,Emergency Relief - Recurring Drive 2021,Recurring Drive,2021-08-06
CMP-0064,Community Health - Recurring Drive 2025,Recurring Drive,2025-09-20
CMP-0065,Annual Fund - Email Blast 2024,Email Blast,2024-06-01
CMP-0066,Community Health - Email Blast 2023,Email Blast,2023-02-05
CMP-0067,Clean Water Initiative - Social Media 2025,Social Media,2025-05-14
CMP-0068,Youth Education - Gala 2024,Gala,2024-05-11
CMP-0069,Emergency Relief - Direct Mail 2021,Direct Mail,2021-02-09
CMP-0070,Annual Fund - Gala 2025,Gala,2025-12-05
CMP-0071,Community Health - Email Blast 2021,Email Blast,2021-04-29
CMP-0072,Environmental Protection - Direct Mail 2021,Direct Mail,2021-06-11
CMP-0073,Community Health - Direct Mail 2023,Direct Mail,2023-09-23
CMP-0074,Annual Fund - Email Blast 2025,Email Blast,2025-04-18
CMP-0075,Community Health - Peer-to-Peer 2024,Peer-to-Peer,2024-09-13
CMP-0076,Community Health - Gala 2021,Gala,2021-12-05
CMP-0077,Youth Education - Social Media 2025,Social Media,2025-11-22
CMP-0078,Environmental Protection - Social Media 2022,Social Media,2022-03-10
CMP-0079,Environmental Protection - Email Blast 2024,Email Blast,2024-11-13
CMP-0080,Environmental Protection - Peer-to-Peer 2022,Peer-to-Peer,2022-10-01
CMP-0081,Youth Education - Gala 2024,Gala,2024-08-23
CMP-0082,Clean Water Initiative - Peer-to-Peer 2023,Peer-to-Peer,2023-11-26
CMP-0083,Clean Water Initiative - Email Blast 2022,Email Blast,2022-05-23
CMP-0084,Community Health - Direct Mail 2022,Direct Mail,2022-11-24
CMP-0085,Community Health - Email Blast 2024,Email Blast,2024-02-09
CMP-0086,Clean Water Initiative - Direct Mail 2022,Direct Mail,2022-03-28
CMP-0087,Clean Water Initiative - Recurring Drive 2024,Recurring Drive,2024-12-20
CMP-0088,Clean Water Initiative - Direct Mail 2022,Direct Mail,2022-04-14
CMP-0089,Clean Water Initiative - Gala 2025,Gala,2025-10-27
CMP-0090,Emergency Relief - Email Blast 2023,Email Blast,2023-11-19
CMP-0091,Annual Fund - Peer-to-Peer 2024,Peer-to-Peer,2024-10-02
CMP-0092,Environmental Protection - Email Blast 2024,Email Blast,2024-01-10
CMP-0093,Community Health - Social Media 2025,Social Media,2025-12-13
CMP-0094,Youth Education - Email Blast 2023,Email Blast,2023-08-27
CMP-0095,Annual Fund - Peer-to-Peer 2025,Peer-to-Peer,2025-07-12
CMP-0096,Environmental Protection - Direct Mail 2021,Direct Mail,2021-07-13
CMP-0097,Youth Education - Gala 2023,Gala,2023-06-02
CMP-0098,Environmental Protection - Peer-to-Peer 2023,Peer-to-Peer,2023-04-22
